description,categorie,type_service,urgence,origine_probleme,specialite_requise,pieces_necessaires
"Problème signalé : écran bleu fréquent, ram peut-être défectueuse Le client a besoin d'aide.",hardware,maintenance,critique,Connexion interne défaillante,Généraliste,"[""Pâte thermique""]"
Le client indique que les mises à jour automatiques échouent depuis hier.,software,installation,normale,Mise à jour défectueuse du système,Software,[]
"Le client indique que écran bleu fréquent, RAM peut-être défectueuse Problème urgent.",hardware,reparation,haute,Défaillance matérielle due à l'usure,Généraliste,"[""Disque SSD 256GB"", ""Câble SATA""]"
Le client indique que désinstallation impossible d'un logiciel Cela se produit souvent.,software,installation,normale,Mise à jour défectueuse du système,Généraliste,[]
Signalement client : configuration du proxy pour internet depuis ce matin.,reseau,depannage,normale,Interférence WiFi avec autres équipements,Réseau,"[""Switch 8 ports""]"
Intervention requise : outlook ne se synchronise plus avec le mail Le client a besoin d'aide.,software,installation,normale,Erreur de configuration système,Généraliste,[]
Signalement client : l'ordinateur est très lent au démarrage Cela se produit souvent.,software,configuration,normale,Infection par malware ou virus,Généraliste,[]
Client signale : l'antivirus ne peut pas supprimer les menaces,software,installation,haute,Mise à jour défectueuse du système,Software,[]
La carte graphique affiche des artefacts Problème récurrent.,hardware,reparation,faible,Surchauffe causée par poussière accumulée,Généraliste,"[""Carte mère""]"
Le client indique que le firewall bloque le trafic légitime Problème urgent.,reseau,installation,normale,Incompatibilité de protocoles réseau,Réseau,"[""Switch 16 ports"", ""Câble RJ45 20m""]"
Installation d'un câble fibre optique Problème récurrent.,reseau,depannage,normale,Mauvaise configuration des paramètres réseau,Généraliste,"[""Switch 8 ports""]"
Intervention requise : le logiciel erp ne se lance plus Problème urgent.,software,configuration,normale,Infection par malware ou virus,Généraliste,[]
Le client indique que le pare-feu bloque une application métier depuis ce matin.,software,reparation,faible,Corruption du système d'exploitation,Généraliste,[]
Le client indique que l'antivirus ne peut pas supprimer les menaces depuis ce matin.,software,configuration,critique,Conflit entre logiciels installés,Généraliste,[]
Le client indique que le lecteur CD DVD n'ouvre plus Le client a besoin d'aide.,hardware,maintenance,normale,Dommage physique suite à choc,Généraliste,[]
Intervention requise : l'ordinateur est très lent au démarrage Problème récurrent.,software,configuration,normale,Mise à jour défectueuse du système,Généraliste,[]
Intervention requise : la connexion wifi se déconnecte souvent Le client a besoin d'aide.,reseau,installation,haute,Interférence WiFi avec autres équipements,Réseau,"[""Câble RJ45 10m"", ""Connecteurs RJ45""]"
Le client indique que mise en place d'un réseau local pour bureaux Le client a besoin d'aide.,reseau,installation,normale,Mauvaise configuration des paramètres réseau,Réseau,"[""Switch 16 ports"", ""Câble RJ45 20m""]"
Problème signalé : le pare-feu bloque une application métier Cela se produit souvent.,software,reparation,normale,Licence expirée ou fichiers corrompus,Généraliste,[]
Problème signalé : le pare-feu bloque une application métier Problème récurrent.,software,reparation,normale,Erreur de configuration système,Généraliste,[]
Intervention requise : le système est bloqué en mode sans échec depuis ce matin.,software,reparation,haute,Corruption du système d'exploitation,Software,[]
Problème signalé : la carte graphique ne s'affiche plus Cela se produit souvent.,hardware,reparation,normale,Surchauffe causée par poussière accumulée,Généraliste,"[""Alimentation 500W""]"
Signalement client : le bloc d'alimentation émet des odeurs Le client a besoin d'aide.,hardware,maintenance,normale,Composant électronique endommagé,Hardware,[]
Intervention requise : l'antivirus ne peut pas supprimer les menaces Problème urgent.,software,reparation,haute,Surcharge mémoire et fragmentation,Généraliste,[]
Intervention requise : l'écran tactile ne répond plus,hardware,maintenance,normale,Connexion interne défaillante,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]"
