description,categorie,type_service,urgence,origine_probleme,specialite_requise,pieces_necessaires,solution,prevention,duree
Client signale : l'imprimante ne reconnaît plus le papier Le client est inquiet.,hardware,maintenance,normale,Dommage physique suite à choc,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,0.5
Suite à un appel client : la carte mère émet des bips au démarrage,hardware,maintenance,normale,Court-circuit dans l'alimentation,Hardware,"[""Pâte thermique"", ""Spray air comprimé""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,1.5
Le client se plaint que sécurisation du réseau WiFi entreprise depuis ce matin.,reseau,configuration,normale,Interférence WiFi avec autres équipements,Réseau,[],"Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Mettre à jour le firmware des équipements réseau.,2.5
Le client se plaint que l'écran du laptop est fissuré Le client a besoin d'aide.,hardware,reparation,normale,Composant électronique endommagé,Hardware,"[""Alimentation 500W""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Éviter les chocs physiques et les environnements humides.,2.0
Problème signalé : configuration du proxy pour internet depuis ce matin.,reseau,configuration,faible,Problème de sécurité réseau,Réseau,[],"Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Sécuriser le réseau WiFi avec un mot de passe fort WPA3.,1.0
Le client indique que la souris ne répond plus Merci d'intervenir rapidement.,hardware,reparation,normale,Court-circuit dans l'alimentation,Hardware,"[""Connecteur de charge""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Utiliser un onduleur pour protéger contre les coupures et surtensions.,1.0
Intervention requise : la carte mère émet des bips au démarrage,hardware,maintenance,normale,Vieillissement de la batterie,Hardware,"[""Pâte thermique"", ""Spray air comprimé""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,1.5
Le client se plaint que le disque SSD n'est plus reconnu par le BIOS Cela bloque le travail.,hardware,maintenance,normale,Surchauffe causée par poussière accumulée,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Éviter les chocs physiques et les environnements humides.,1.5
La batterie du laptop ne charge plus depuis hier.,hardware,reparation,normale,Composant électronique endommagé,Hardware,[],"Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Utiliser un onduleur pour protéger contre les coupures et surtensions.,2.5
Signalement client : le clavier ne fonctionne plus Cela bloque le travail.,hardware,reparation,critique,Vieillissement de la batterie,Hardware,"[""Batterie laptop""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,1.5
